Data, Hora, Temperatura Interna, Temperatura Externa, Temperatura Referência
11-10-2020 , 17:32:58,0.00 , 0.00 , 35.00% 
11-10-2020 , 17:32:59,0.00 , 22.15 , 35.00% 
11-10-2020 , 17:32:59,30.74 , 22.15 , 35.00% 
11-10-2020 , 17:33:00,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:00,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:01,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:01,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:02,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:02,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:03,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:03,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:04,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:04,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:05,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:05,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:06,30.74 , 27.36 , 35.00% 
11-10-2020 , 17:33:06,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:07,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:07,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:08,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:08,30.74 , 27.36 , 35.00% 
11-10-2020 , 17:33:09,30.74 , 27.36 , 35.00% 
11-10-2020 , 17:33:09,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:10,31.23 , 27.36 , 35.00% 
11-10-2020 , 17:33:10,30.26 , 27.36 , 35.00% 
11-10-2020 , 17:33:11,30.26 , 27.35 , 35.00% 
11-10-2020 , 17:33:11,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:12,31.23 , 27.35 , 35.00% 
11-10-2020 , 17:33:12,30.74 , 27.35 , 35.00% 
11-10-2020 , 17:33:13,30.74 , 27.34 , 35.00% 
11-10-2020 , 17:33:13,31.23 , 27.34 , 35.00% 
11-10-2020 , 17:33:14,31.23 , 27.34 , 35.00% 
11-10-2020 , 17:33:14,31.23 , 27.34 , 35.00% 
11-10-2020 , 17:33:15,31.23 , 27.33 , 35.00% 
11-10-2020 , 17:33:15,31.23 , 27.33 , 35.00% 
11-10-2020 , 17:33:16,31.23 , 27.32 , 35.00% 
11-10-2020 , 17:33:16,31.23 , 27.32 , 35.00% 
11-10-2020 , 17:33:17,31.23 , 27.31 , 35.00% 
11-10-2020 , 17:33:17,31.23 , 27.31 , 35.00% 
11-10-2020 , 17:33:18,31.23 , 27.30 , 35.00% 
11-10-2020 , 17:33:18,31.23 , 27.30 , 35.00% 
11-10-2020 , 17:33:19,31.23 , 27.29 , 35.00% 
11-10-2020 , 17:33:19,31.23 , 27.29 , 35.00% 
11-10-2020 , 17:33:20,31.23 , 27.27 , 35.00% 
11-10-2020 , 17:33:20,31.72 , 27.27 , 35.00% 
11-10-2020 , 17:33:21,31.72 , 27.26 , 35.00% 
11-10-2020 , 17:33:21,31.72 , 27.26 , 35.00% 
